repository_name,watches,repository_description,repository_url
android-mapviewballoons,855,Simple information balloon annotation for Android MapView,https://github.com/jgilfelt/android-mapviewballoons
smoothie,851,Easy async loading for Android's ListView/GridView,https://github.com/lucasr/smoothie
cordova-android,851,Mirror of Apache Cordova Android,https://github.com/apache/cordova-android
astyanax,846,Cassandra Java Client,https://github.com/Netflix/astyanax
Android-Terminal-Emulator,842,A VT-100 terminal emulator for the Android OS,https://github.com/jackpal/Android-Terminal-Emulator
xabber-android,839,,https://github.com/redsolution/xabber-android
cwac-endless,838,CommonsWare Android Components: EndlessAdapter,https://github.com/commonsguy/cwac-endless
java-apns,834,Java Apple Push Notification Service Provider,https://github.com/notnoop/java-apns
WikiSort,833,Fast and stable merge sort algorithm that uses O(1) memory,https://github.com/BonzaiThePenguin/WikiSort
android,831,The ownCloud Android App,https://github.com/owncloud/android
philm,830,Movie collection and information app for Android.,https://github.com/chrisbanes/philm
yin,830,the Yin programming language,https://github.com/yinwang0/yin
http-kit,830,"http-kit is a minimalist, event-driven, high-performance Clojure HTTP server/client library with WebSocket and asynchronous support",https://github.com/http-kit/http-kit
ArcMenu,828,An android custom view which looks like the menu in Path 2.0 (for iOS).,https://github.com/daCapricorn/ArcMenu
elasticsearch-river-mongodb,827,MongoDB River Plugin for ElasticSearch,https://github.com/richardwilly98/elasticsearch-river-mongodb
commons,824,Twitter common libraries for python and the JVM,https://github.com/twitter/commons
robospice,813,"Repo of the Open Source Android library : RoboSpice. RoboSpice is a modular android library that makes writing asynchronous long running tasks easy. It is specialized in network requests, supports caching and offers REST requests out-of-the box using extension modules.",https://github.com/stephanenicolas/robospice
gocd,812,Main repository for Go Continuous Delivery,https://github.com/gocd/gocd
processing-js,811,A port of the Processing visualization language to JavaScript.,https://github.com/jeresig/processing-js
android-crop,811,Android library project for cropping images,https://github.com/jdamcd/android-crop
gesture-imageview,808,"Implements pinch-zoom, rotate, pan as an ImageView for Android 2.1+",https://github.com/jasonpolites/gesture-imageview
android-floating-action-button,805,Floating Action Button for Android based on Material Design specification,https://github.com/futuresimple/android-floating-action-button
MPAndroidChart,804,"A powerful Android chart view / graph view library, supporting line- bar- pie- radar- and candlestick charts as well as scaling, dragging and animations.",https://github.com/PhilJay/MPAndroidChart
kryo,803,"Java serialization and cloning: fast, efficient, automatic",https://github.com/EsotericSoftware/kryo
chromeview,802,Android WebView implementation that uses the latest Chromium code,https://github.com/pwnall/chromeview
android-satellite-menu,801,Android Satellite Menu,https://github.com/siyamed/android-satellite-menu
storm-starter,798,Learn to use Storm!,https://github.com/nathanmarz/storm-starter
cucumber-jvm,796,Cucumber for the JVM,https://github.com/cucumber/cucumber-jvm
